id,1205229@歷史名著選讀@1@1,1207012@英文清史名著選讀（二）：新清史@1@1,1209029@台灣經濟史論著選讀@1@1,1209519@國共關係史專題研究@1@1,1205049@近代中國史料專題研究@1@1,1205289@清代地域社會專題研究@1@1,1208309@明代經濟史專題研究@1@1,1209209@唐代歷史地理專題研究@1@1,1209499@現代西洋繪畫史專題研究@1@1,1209549@人權史專題@1@1,1209749@南宋記事文研讀@1@1,1205219@中國近代史專題研究@2@1,1205239@歷史研究導論@2@1,1208059@中國中古社會史專題@2@1,1208213@中國經濟史論著選讀@2@1,1208949@魏晉南北朝史詩專研@2@1,1209249@中國藝術史論著選讀@2@1,1209652@台灣宗教史專題（二）@2@1,1209789@先秦道家文獻專題研究@2@1,1209791@宋代荒政研究（一）@2@1,1209809@中國近代軍事史專題研究@2@1,1209819@秦漢隋唐史料分析專題@2@1,1205099@中國近代史論著選讀@1@1,1205181@滿文檔案文獻選讀（一）@1@1,1205201@先秦出土文獻專題研究（一）@1@1,1208539@清代史專題研究@1@1,1209139@臺灣經濟史專題研究@1@1,1209231@中國現代史專題研究（一）@1@1,1209389@台灣藝術史專題研究@1@1,1209433@東洋史學專題研究－台灣篇（一）@1@1,1209521@台灣宗教社會史專題（一）@1@1,1205182@滿文檔案文獻選讀（二）@2@1,1205202@先秦出土文獻專題研究（二）@2@1,1207011@英文清史名著選讀（一）：新清史@2@1,1207029@「歷史理論」專題研究@2@1,1207039@明史論著選讀@2@1,1207049@漢畫專題研究@2@1,1208139@中國中古政治史專題@2@1,1208919@中國近代社會史專題研究@2@1,1209232@中國現代史專題研究（二）@2@1,1209432@東洋史學專題研究－中國篇（二）@2@1,1209434@東洋史學專題研究－台灣篇（二）@2@1
698120015,55,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698120016,85,87,NaN,NaN,91,NaN,86,NaN,NaN,NaN,NaN,92,82,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,80,NaN,NaN,NaN,NaN,NaN,81,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698120006,86,NaN,85,90,95,NaN,NaN,NaN,NaN,NaN,NaN,95,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96
698120002,85,NaN,NaN,NaN,93,85,NaN,NaN,NaN,NaN,NaN,91,87,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,88,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN
698120003,84,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,84,93,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,86,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN
698120005,84,NaN,NaN,87,91,NaN,86,NaN,NaN,NaN,NaN,NaN,80,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,87,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN
698120007,81,NaN,NaN,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,91,NaN,82,NaN,NaN,NaN,NaN,88,NaN,60,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,87,NaN,NaN
698120008,88,NaN,NaN,NaN,93,NaN,NaN,NaN,88,NaN,NaN,NaN,81,NaN,NaN,NaN,90,NaN,74,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,84,NaN,NaN,NaN
698120013,83,NaN,NaN,NaN,92,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,85,NaN,NaN,NaN
698120014,87,NaN,NaN,NaN,91,NaN,86,70,NaN,NaN,NaN,90,81,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,92,NaN,NaN,NaN,NaN
