id,3415020@社會科學方法論@1@1,3415045@策略規劃與問題解決@1@1,3415060@戰略研究@1@1,3417005@亞太經貿與台灣戰略@1@1,3417006@全球化與全球治理@1@1,3417018@人類安全專題@1@1,3417019@國際組織與國際公法@1@1,3417020@國際政治@1@1,3417021@政治學@1@1,3418002@國際關係英文選讀@1@1,3415045@策略規劃與問題解決@2@1,3415110@安全與外交政策分析@2@1,3415120@國際政治經濟@2@1,3418007@兩岸關係與國際現勢@2@1,3418008@核戰略與國際關係@2@1,3418010@國防法制與國家安全政策@2@1,3418011@中國崛起與大國外交@2@1,3418012@西洋政治思想史@2@1,3418014@國際關係史@2@1,3415000@國際關係理論@1@1,3416020@反恐與國家安全專題@1@1,3418009@中西近代外交史@1@1,3415003@WTO 與國際經貿組織研究@2@1,3415004@危機管理@2@1,3415035@亞洲區域主義@2@1,3415060@戰略研究@2@1,3418005@美國外交政策與戰略研究@2@1,3415007@亞太經貿與中國政經發展@1@1,3417019@國際組織與國際公法@2@1,3415000@國際關係理論@2@1,3416000@文化與戰略@2@1,3417014@反恐戰略與國家安全專題@2@1
600341002,88,NaN,NaN,86,NaN,90,NaN,89,79,NaN,92,NaN,90,NaN,NaN,NaN,90,NaN,NaN,88,NaN,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN
600341003,96,NaN,84,NaN,NaN,88,NaN,92,NaN,90,92,NaN,92,NaN,86,90,NaN,NaN,NaN,90,NaN,92,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341004,88,NaN,NaN,80,NaN,85,NaN,88,NaN,83,90,NaN,84,NaN,NaN,89,NaN,82,NaN,86,NaN,90,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341005,91,90,93,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,87,86,NaN,95,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,88,90
600341006,94,NaN,NaN,90,NaN,93,NaN,90,NaN,85,91,NaN,NaN,89,NaN,NaN,94,88,NaN,91,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341010,96,NaN,NaN,NaN,NaN,92,94,94,90,93,93,96,NaN,NaN,NaN,90,NaN,86,NaN,94,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341011,96,NaN,NaN,NaN,NaN,91,NaN,90,90,94,93,NaN,88,NaN,NaN,NaN,92,85,NaN,90,NaN,90,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341012,95,NaN,NaN,86,NaN,87,NaN,87,NaN,89,94,91,NaN,NaN,NaN,NaN,91,NaN,86,90,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
600341013,91,NaN,NaN,NaN,NaN,86,93,88,89,NaN,90,90,NaN,NaN,NaN,NaN,NaN,84,84,88,NaN,89,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341017,93,NaN,NaN,NaN,NaN,88,87,87,NaN,91,89,91,NaN,NaN,NaN,88,NaN,84,NaN,87,NaN,90,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341019,78,NaN,NaN,NaN,NaN,89,85,88,NaN,NaN,90,NaN,NaN,87,NaN,NaN,88,87,NaN,88,93,91,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
600341020,79,NaN,60,70,NaN,70,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341021,91,NaN,NaN,NaN,87,86,NaN,92,91,91,90,NaN,NaN,88,NaN,NaN,NaN,85,86,88,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341023,94,NaN,NaN,NaN,NaN,88,87,88,NaN,82,90,NaN,86,89,NaN,NaN,89,85,NaN,86,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341024,97,NaN,NaN,NaN,NaN,86,NaN,93,91,92,92,92,NaN,85,NaN,NaN,NaN,NaN,NaN,89,91,90,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341025,94,NaN,NaN,86,NaN,85,NaN,85,NaN,84,94,NaN,86,NaN,86,NaN,88,NaN,NaN,87,NaN,90,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341029,96,NaN,NaN,85,NaN,83,NaN,NaN,NaN,NaN,92,NaN,85,NaN,NaN,NaN,90,82,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341030,94,NaN,NaN,NaN,NaN,86,91,87,NaN,88,89,91,NaN,NaN,NaN,88,NaN,84,NaN,88,NaN,90,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341031,91,NaN,NaN,NaN,85,85,NaN,88,NaN,81,90,87,NaN,NaN,88,87,NaN,NaN,NaN,85,82,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN
600341032,89,NaN,82,NaN,NaN,87,NaN,92,NaN,92,93,NaN,NaN,NaN,90,NaN,91,NaN,85,90,NaN,90,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
600341033,90,NaN,74,NaN,NaN,87,NaN,87,NaN,NaN,92,86,NaN,85,NaN,89,NaN,82,NaN,87,NaN,89,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341034,96,NaN,NaN,NaN,NaN,90,NaN,85,93,93,90,NaN,93,NaN,NaN,88,NaN,87,NaN,90,NaN,90,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341035,92,NaN,NaN,NaN,87,87,NaN,88,NaN,88,90,NaN,88,NaN,NaN,NaN,NaN,83,87,87,88,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600341028,NaN,NaN,NaN,NaN,NaN,88,NaN,99,NaN,91,94,NaN,90,93,NaN,NaN,NaN,NaN,88,91,NaN,NaN,86,NaN,NaN,NaN,NaN,90,88,NaN,NaN,NaN
