id,3415120@國際政治經濟@2@1,3415007@亞太經貿與中國政經發展@1@1,3415009@台灣國際關係史@1@1,3415011@東北亞區域安全@1@1,3415012@WTO與區域經濟整合@1@1,3415020@社會科學方法論@1@1,3417019@國際組織與國際公法@1@1,3417020@國際政治@1@1,3415016@國際恐怖主義研究@2@1,3415045@策略規劃與問題解決@2@1,3416000@文化與戰略@2@1,3417006@全球化與全球治理@2@1,3417018@人類安全專題@2@1,3417021@政治學@2@1,3418007@兩岸關係與國際現勢@2@1,3415000@國際關係理論@1@1,3415035@亞洲區域主義@1@1,3415060@戰略研究@1@1,3418009@中西近代外交史@1@1,3415009@台灣國際關係史@2@1
603341004,90,88,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603341001,70,88,86,NaN,NaN,86,NaN,94,82,92,86,NaN,NaN,NaN,92,93,NaN,82,87,NaN
603341002,89,88,NaN,84,89,84,NaN,95,NaN,92,90,NaN,NaN,NaN,91,93,NaN,NaN,88,86
603341006,88,89,NaN,88,87,85,NaN,93,NaN,92,NaN,NaN,89,87,NaN,92,NaN,NaN,88,NaN
603341007,NaN,87,NaN,NaN,88,90,91,93,NaN,92,NaN,NaN,88,88,92,92,NaN,NaN,88,82
603341009,88,90,NaN,87,NaN,89,88,92,92,92,NaN,NaN,86,88,NaN,93,NaN,NaN,NaN,NaN
603341015,86,85,NaN,83,84,80,86,92,NaN,91,87,NaN,NaN,89,91,93,NaN,NaN,NaN,NaN
603341017,NaN,86,NaN,83,NaN,75,81,91,NaN,91,90,NaN,82,NaN,93,92,NaN,80,77,NaN
603341018,NaN,87,91,92,NaN,85,NaN,94,85,93,NaN,NaN,87,90,94,95,NaN,76,NaN,NaN
603341020,NaN,86,NaN,83,NaN,90,NaN,91,92,92,90,85,NaN,NaN,NaN,92,NaN,86,88,90
603341021,86,87,NaN,83,NaN,84,NaN,94,NaN,92,NaN,79,84,87,92,93,NaN,76,NaN,NaN
603341022,70,85,NaN,81,85,79,NaN,93,NaN,91,NaN,NaN,83,NaN,91,80,NaN,NaN,70,NaN
603341025,80,85,86,NaN,NaN,84,NaN,93,83,91,86,NaN,NaN,NaN,91,93,NaN,82,87,NaN
603341026,88,87,NaN,85,88,86,NaN,95,NaN,92,90,NaN,88,NaN,91,93,NaN,NaN,89,NaN
603341012,NaN,NaN,87,NaN,92,90,90,96,92,91,NaN,NaN,89,91,92,92,NaN,NaN,90,NaN
603341016,NaN,NaN,88,83,NaN,85,86,93,NaN,92,89,NaN,87,88,93,93,NaN,78,NaN,NaN
603341023,86,NaN,78,NaN,NaN,76,87,92,86,92,NaN,34,84,NaN,92,92,NaN,86,83,NaN
603341024,NaN,NaN,91,NaN,89,80,86,94,85,92,NaN,NaN,85,88,91,93,NaN,NaN,89,NaN
603341003,90,NaN,NaN,90,85,91,NaN,94,NaN,92,NaN,87,NaN,NaN,94,94,95,84,NaN,NaN
603341019,88,NaN,NaN,86,91,93,87,92,NaN,92,NaN,90,86,89,NaN,95,NaN,NaN,90,NaN
