id,5301105@計算機概論@1@1,5301216@程式設計@1@1,5301888@學系服務學習@1@1,5301214@物件導向技術（一）－JAVA@2@1,5301217@資訊管理導論@2@1,5301888@學系服務學習@2@1,5302203@資料結構@1@1,5302214@網頁程式設計@1@1,5302218@科技法律@1@1,5303101@管理科學概論@1@1,5303224@醫務管理@1@1,5303230@網路社群分析與管理@1@1,5302117@XML 與網際網路服務@2@1,5302202@資料庫管理@2@1,5302205@企業資料通訊與網路@2@1,5303111@網路行銷@2@1,5303213@會計資訊系統@2@1,5303222@多媒體系統@2@1,5304214@顧客關係管理@2@1,5301105@計算機概論@1@2,5303102@系統分析與設計@1@1,5303210@資訊安全@1@1,5303227@電子商務@1@1,5303228@作業系統@1@1,5303229@專案開發（一）@1@1,5303233@專案開發(二)@1@1,5304220@資訊管理個案研究@1@1,5303216@人工智慧與專家系統@2@1,5303229@專案開發（一）@2@1,5303233@專案開發(二)@2@1,5304222@資料探勘與應用@2@1
403530001,60,34,81,-1,60,NaN,72,NaN,68,92,NaN,NaN,NaN,55,-1,-1,-1,NaN,73,NaN,82,NaN,80,73,90,NaN,NaN,-1,NaN,-1,NaN
403530002,70,60,NaN,67,84,86,80,92,77,83,NaN,NaN,93,76,80,NaN,-1,NaN,NaN,NaN,79,NaN,81,89,96,NaN,NaN,-1,NaN,-1,-1
403530003,75,91,96,76,76,NaN,91,83,65,80,NaN,NaN,91,65,64,NaN,-1,66,NaN,NaN,77,NaN,65,75,92,NaN,81,-1,NaN,-1,-1
403530004,81,91,NaN,74,80,92,92,97,61,81,NaN,NaN,98,81,79,NaN,-1,NaN,NaN,NaN,83,NaN,84,89,93,NaN,80,-1,NaN,-1,-1
403530005,77,87,87,78,87,NaN,67,95,81,96,92,NaN,86,64,80,-1,-1,NaN,NaN,NaN,79,NaN,79,NaN,90,NaN,94,NaN,NaN,-1,NaN
403530006,72,63,NaN,-1,67,80,68,NaN,67,88,81,NaN,NaN,NaN,77,91,-1,NaN,NaN,NaN,80,0,67,NaN,90,NaN,NaN,-1,NaN,-1,NaN
403530007,78,85,93,71,80,NaN,86,91,75,80,84,NaN,89,84,81,-1,-1,NaN,NaN,NaN,80,78,75,78,90,NaN,NaN,-1,NaN,-1,NaN
403530008,69,62,NaN,-1,74,86,61,60,60,85,NaN,NaN,NaN,71,70,-1,-1,NaN,NaN,NaN,79,73,79,84,88,NaN,NaN,-1,NaN,-1,NaN
403530009,78,93,86,82,83,NaN,71,94,97,99,NaN,NaN,NaN,78,86,NaN,-1,NaN,NaN,NaN,80,NaN,80,87,95,NaN,88,-1,NaN,-1,-1
403530010,66,73,NaN,-1,60,92,78,83,60,90,NaN,NaN,NaN,78,72,NaN,-1,NaN,NaN,NaN,83,69,74,76,90,NaN,NaN,-1,NaN,-1,NaN
403530011,62,24,87,-1,72,NaN,57,NaN,63,84,87,NaN,NaN,-1,-1,-1,-1,NaN,73,NaN,82,NaN,74,67,87,NaN,94,-1,NaN,-1,NaN
403530012,70,63,NaN,64,62,88,92,91,67,85,83,NaN,82,65,68,NaN,-1,NaN,NaN,NaN,83,83,80,88,85,NaN,NaN,NaN,NaN,-1,-1
403530013,70,78,83,-1,65,NaN,73,NaN,83,76,NaN,NaN,NaN,81,-1,-1,-1,NaN,NaN,NaN,64,8,71,NaN,88,NaN,NaN,-1,NaN,-1,NaN
403530014,77,72,NaN,82,93,87,74,88,82,82,NaN,NaN,92,75,83,NaN,-1,NaN,NaN,NaN,83,NaN,79,85,95,NaN,92,NaN,NaN,-1,-1
403530016,66,65,NaN,-1,70,83,63,NaN,74,90,86,NaN,NaN,56,60,91,-1,NaN,NaN,NaN,74,60,70,80,88,NaN,NaN,NaN,NaN,-1,NaN
403530017,47,NaN,83,NaN,66,NaN,NaN,NaN,60,60,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530024,83,92,NaN,77,85,88,84,91,78,93,NaN,NaN,NaN,79,83,92,-1,NaN,NaN,NaN,84,97,87,NaN,90,NaN,82,-1,NaN,-1,-1
403530025,82,79,86,74,84,NaN,85,90,94,97,98,NaN,90,89,79,-1,-1,NaN,NaN,NaN,83,NaN,92,NaN,90,NaN,88,NaN,NaN,-1,NaN
403530026,75,81,NaN,74,93,87,75,89,76,90,NaN,NaN,92,92,80,NaN,-1,80,NaN,NaN,79,82,84,88,99,NaN,90,NaN,NaN,-1,-1
403530027,69,91,92,66,81,NaN,77,NaN,88,80,NaN,NaN,92,78,74,-1,-1,NaN,NaN,NaN,85,83,86,81,98,NaN,NaN,NaN,NaN,-1,-1
403530028,78,81,NaN,64,78,82,91,83,79,94,84,NaN,NaN,71,-1,-1,-1,NaN,NaN,NaN,78,77,73,86,90,NaN,NaN,-1,NaN,-1,-1
403530029,90,100,83,95,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530030,81,98,NaN,73,74,91,81,96,68,86,NaN,NaN,97,85,82,NaN,-1,NaN,NaN,NaN,83,84,80,91,NaN,92,94,-1,-1,NaN,-1
403530031,63,63,84,-1,72,NaN,63,NaN,61,60,88,NaN,NaN,64,61,-1,-1,NaN,88,NaN,79,60,75,NaN,NaN,90,94,-1,-1,NaN,NaN
403530032,64,35,NaN,32,60,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530033,70,65,92,75,78,NaN,89,NaN,78,86,NaN,NaN,86,72,73,-1,-1,NaN,NaN,NaN,80,NaN,79,NaN,NaN,90,NaN,-1,-1,NaN,-1
403530034,76,76,NaN,73,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530035,53,79,94,75,60,NaN,81,91,77,86,NaN,NaN,NaN,-1,74,93,-1,60,NaN,87,88,NaN,84,83,NaN,90,NaN,-1,-1,NaN,-1
403530037,81,97,87,93,88,NaN,92,99,100,94,87,NaN,NaN,87,88,NaN,-1,NaN,NaN,NaN,83,97,NaN,NaN,NaN,96,92,NaN,-1,NaN,-1
403530038,78,74,NaN,65,84,87,89,87,71,95,88,NaN,NaN,88,84,NaN,-1,NaN,NaN,NaN,83,95,81,88,NaN,90,NaN,-1,-1,NaN,-1
403530041,75,75,83,65,80,NaN,71,83,67,NaN,89,NaN,NaN,77,75,-1,-1,NaN,NaN,NaN,83,NaN,77,NaN,NaN,88,84,-1,-1,NaN,-1
403530042,60,68,NaN,-1,77,87,60,78,69,81,75,NaN,NaN,71,62,NaN,-1,NaN,90,NaN,85,70,80,81,NaN,90,92,-1,-1,NaN,NaN
403530043,64,36,50,-1,63,NaN,67,NaN,76,80,NaN,NaN,NaN,66,62,-1,-1,NaN,NaN,NaN,80,30,76,NaN,NaN,90,86,-1,-1,NaN,NaN
403530044,68,69,NaN,-1,68,86,67,79,64,94,87,NaN,NaN,80,75,-1,-1,NaN,NaN,NaN,78,70,80,85,NaN,90,NaN,-1,-1,NaN,NaN
403530045,77,82,83,-1,85,NaN,88,88,65,81,NaN,NaN,NaN,81,82,-1,-1,NaN,NaN,NaN,88,81,83,81,NaN,90,NaN,-1,-1,NaN,NaN
403530046,79,86,NaN,79,100,87,85,85,81,73,NaN,NaN,90,84,77,NaN,-1,85,NaN,NaN,82,NaN,79,91,NaN,97,94,NaN,-1,NaN,-1
403530047,66,62,83,-1,70,NaN,68,83,70,88,86,NaN,NaN,66,67,NaN,-1,NaN,NaN,NaN,80,65,80,86,NaN,90,NaN,-1,-1,NaN,NaN
403530049,68,63,86,64,72,NaN,81,92,69,73,NaN,NaN,90,73,81,NaN,-1,79,NaN,NaN,81,NaN,78,82,NaN,97,94,NaN,-1,NaN,NaN
403530050,65,68,NaN,71,91,89,80,95,76,84,80,92,79,84,77,NaN,-1,76,NaN,NaN,79,NaN,82,NaN,NaN,90,NaN,NaN,-1,NaN,NaN
403530053,50,46,65,NaN,65,NaN,75,NaN,68,60,NaN,NaN,NaN,NaN,NaN,84,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,-1,NaN
403530055,83,NaN,NaN,80,81,73,86,NaN,88,90,NaN,NaN,NaN,-1,-1,94,-1,NaN,NaN,NaN,73,78,87,80,95,NaN,NaN,NaN,NaN,-1,-1
403530051,NaN,72,75,83,81,NaN,87,NaN,76,NaN,NaN,NaN,NaN,-1,-1,93,-1,NaN,NaN,NaN,73,79,85,74,95,NaN,NaN,NaN,NaN,-1,-1
403530054,NaN,NaN,NaN,71,-1,NaN,75,79,66,80,83,NaN,NaN,-1,66,94,-1,NaN,NaN,NaN,66,NaN,80,NaN,NaN,95,NaN,NaN,-1,NaN,-1
403530056,NaN,NaN,70,-1,-1,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403530057,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,78,87,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
