id,4105399@物聯網概論@2@1,4105700@計算機結構@2@1,4105818@嵌入式作業系統設計與實作研討@2@1,4106002@計算機專題（二）@2@1,4105100@影像處理@1@1,4105105@圖形識別@1@1,4105106@遙測影像分析概論@1@1,4105109@電腦視覺@1@1,4105111@計算攝影學：應用圖學與影像技術@1@1,4105210@類神經網路@1@1,4105306@社會網路分析@1@1,4105310@計算方法@1@1,4105334@演化式計算@1@1,4105345@最佳化問題算法設計@1@1,4105400@電腦網路@1@1,4105401@無線區域網路@1@1,4105402@網路安全攻防技術@1@1,4105417@行動通訊網路@1@1,4105444@多媒體內容分析@1@1,4105468@軟體定義網路@1@1,4105476@網際網路資料庫系統@1@1,4105509@雲端學習科技@1@1,4105513@適地性服務之實證方法@1@1,4105567@高等數位積體電路設計@1@1,4105594@可程式化硬體設計@1@1,4105605@編譯器@1@1,4105730@作業系統@1@1,4105791@即時嵌入式系統@1@1,4105803@嵌入式開發軟體工具組@1@1,4105812@軟體測試@1@1,4105813@軟體分析與最佳化@1@1,4105911@生物資訊演算法@1@1,4106000@科技英文寫作與溝通技巧@1@1,4106001@計算機專題（一）@1@1,4105004@密碼學與安全協定@2@1,4105107@生醫影像處理系統@2@1,4105113@視訊處理@2@1,4105205@模糊系統@2@1,4105314@超啟發式演算法@2@1,4105316@圖論演算法@2@1,4105317@近似演算法@2@1,4105347@最佳化導論@2@1,4105398@物聯網應用系統@2@1,4105408@無線感測網路@2@1,4105448@多媒體學習系統設計@2@1,4105477@WWW 技術與應用@2@1,4105506@進階資料庫系統@2@1,4105508@雲端計算@2@1,4105559@超大型積體電路系統設計概論@2@1,4105566@數位積體電路設計@2@1,4105599@晶片系統設計@2@1,4105753@即時作業系統@2@1,4105755@分散式系統@2@1,4105797@嵌入式計算系統@2@1,4105926@高通量定序資料之生物資訊分析技術@2@1,4105931@機器學習@2@1,4106004@計算機專題（四）@2@1
605410051,86,-1,85,78,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1
605410036,NaN,-1,NaN,-1,95,95,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605410043,NaN,-1,NaN,-1,95,91,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605410046,NaN,-1,NaN,-1,93,NaN,NaN,91,NaN,92,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605410049,NaN,-1,NaN,-1,72,NaN,NaN,80,NaN,78,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605410056,NaN,-1,NaN,-1,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
605410058,NaN,-1,NaN,-1,93,89,NaN,NaN,NaN,NaN,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605410071,NaN,-1,NaN,-1,95,NaN,89,92,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605410075,NaN,-1,NaN,-1,74,NaN,NaN,70,NaN,86,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605410077,NaN,-1,NaN,-1,95,91,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
