id,4105314@超啟發式演算法@2@1,4105443@多媒體系統@2@1,4105446@網路程式設計@2@1,4105508@雲端計算@2@1,4105566@數位積體電路設計@2@1,4105594@可程式化硬體設計@2@1,4105700@計算機結構@2@1,4105816@系統與軟體安全@2@1,4105933@高等機器學習與應用@2@1,4106002@計算機專題（二）@2@1,4105100@影像處理@1@1,4105105@圖形識別@1@1,4105107@生醫影像處理系統@1@1,4105111@計算攝影學：應用圖學與影像技術@1@1,4105210@類神經網路@1@1,4105241@自然語言處理@1@1,4105242@語意網@1@1,4105306@社會網路分析@1@1,4105310@計算方法@1@1,4105317@近似演算法@1@1,4105334@演化式計算@1@1,4105400@電腦網路@1@1,4105402@網路安全攻防技術@1@1,4105408@無線感測網路@1@1,4105414@物聯網核心技術@1@1,4105417@行動通訊網路@1@1,4105444@多媒體內容分析@1@1,4105476@網際網路資料庫系統@1@1,4105507@雲端適地性服務之實證方法@1@1,4105567@高等數位積體電路設計@1@1,4105598@車用電子系統應用專題@1@1,4105599@晶片系統設計@1@1,4105605@編譯器@1@1,4105730@作業系統@1@1,4105803@嵌入式開發軟體工具組@1@1,4105812@軟體測試@1@1,4105817@系統軟體設計@1@1,4105915@計算生物學概論@1@1,4105931@機器學習@1@1,4105932@學習科技@1@1,4106000@科技英文寫作與溝通技巧@1@1,4106001@計算機專題（一）@1@1,4105015@資料工程@2@1,4105113@視訊處理@2@1,4105205@模糊系統@2@1,4105240@人工智慧@2@1,4105316@圖論演算法@2@1,4105347@最佳化導論@2@1,4105399@物聯網概論@2@1,4105401@無線區域網路@2@1,4105448@多媒體學習系統設計@2@1,4105454@網路效能分析@2@1,4105466@射頻辨識系統與應用@2@1,4105477@WWW 技術與應用@2@1,4105506@進階資料庫系統@2@1,4105559@超大型積體電路系統設計概論@2@1,4105597@醫療電子臨床導入@2@1,4105610@高等編譯器@2@1,4105797@嵌入式計算系統@2@1,4105807@嵌入式作業系統設計與實作@2@1,4105911@生物資訊演算法@2@1,4105934@音樂與動作處理@2@1,4106004@計算機專題（四）@2@1,4105108@視覺品質評估@1@1,4105243@語音辨識概論@1@1,4105345@最佳化問題算法設計@1@1,4105398@物聯網應用系統@1@1,4105460@網際網路資訊檢索@1@1,4105509@雲端學習科技@1@1,4105511@雲端數位學習系統@1@1,4105594@可程式化硬體設計@1@1,4105813@軟體分析與最佳化@1@1,4106003@計算機專題（三）@1@1,4105317@近似演算法@2@1
601410053,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,82,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,90,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN
601410054,NaN,NaN,83,NaN,NaN,NaN,70,NaN,NaN,86,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
601410059,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,78,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,74,NaN,95,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN
601410060,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,78,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,85,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,70,NaN,NaN,NaN,NaN,NaN,NaN,92,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN
601410064,NaN,NaN,93,NaN,NaN,NaN,75,NaN,NaN,86,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,91,NaN,NaN,NaN,42,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
601410065,NaN,NaN,77,NaN,NaN,NaN,76,NaN,NaN,70,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,82,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,82,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN
601410074,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,78,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,78,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,74,NaN,NaN,NaN,NaN,NaN,NaN,95,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN
601410083,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,82,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,68,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,70,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,70,NaN
601410103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,77,NaN,90,96,NaN,NaN,NaN,NaN,83,NaN,NaN,77,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN
601410109,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,74,96,91,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN
601410115,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,74,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN
601410119,NaN,NaN,82,NaN,NaN,NaN,86,NaN,NaN,78,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,85,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,82,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN
601410126,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,78,96,NaN,90,NaN,NaN,NaN,NaN,NaN,64,NaN,NaN,84,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,90,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN
601410129,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,82,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,77,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,70,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,74,NaN
601410138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,76,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN
601410139,NaN,91,NaN,NaN,NaN,NaN,88,NaN,NaN,99,96,88,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,89,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN
601410144,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,78,80,85,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,85,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN
601410088,NaN,NaN,NaN,NaN,87,NaN,73,NaN,NaN,74,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,70,NaN
601410136,NaN,NaN,NaN,NaN,88,NaN,78,NaN,NaN,70,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,82,NaN
601410140,NaN,NaN,NaN,NaN,88,NaN,77,NaN,NaN,74,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,78,NaN
601410142,NaN,NaN,NaN,NaN,76,NaN,70,NaN,NaN,74,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,78,NaN
601410058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,89,92,NaN,NaN,NaN,NaN,87,NaN,NaN,87,82,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
601410132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,87,NaN,NaN,87,NaN,NaN,NaN,NaN,80,NaN,NaN,82,76,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
601410047,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN
601410106,NaN,NaN,87,NaN,NaN,NaN,60,NaN,NaN,70,NaN,NaN,NaN,NaN,20,87,93,NaN,99,NaN,NaN,85,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN
601410134,NaN,NaN,83,NaN,NaN,NaN,81,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,88,91,NaN,NaN,NaN,NaN,86,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
601410145,NaN,NaN,70,NaN,NaN,NaN,63,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,82,74,NaN,86,NaN,NaN,71,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
601410149,NaN,NaN,82,88,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,84,79,NaN,71,NaN,NaN,80,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN
601410150,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,84,81,NaN,99,NaN,NaN,87,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN
601410045,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,88,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,90,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,90,85
601410063,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,86,NaN,NaN,86,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,86,88
