id,3901001@人體解剖生理學@1@1,3901003@運動科學概論@1@1,3901005@專長術科（一）@1@1,3901007@運動場館實習（一）@1@1,3901888@學系服務學習@1@1,3902105@運動社會學@1@1,3903107@運動員健康管理@1@1,3903111@田徑@1@1,3903113@籃球@1@1,3904108@運動裁判法@1@1,3904110@足球@1@1,3904113@跆拳道@1@1,3901002@體育測驗與評量@2@1,3901004@運動休閒概論@2@1,3901006@專長術科（二）@2@1,3901008@運動場館實習（二）@2@1,3901102@運動教育學@2@1,3901104@棒(壘)球@2@1,3901888@學系服務學習@2@1,3902104@應用運動生理學@2@1,3903101@體適能與運動處方@2@1,3903102@運動技術分析@2@1,3903112@游泳@2@1,3903114@網球@2@1,3903116@高爾夫@2@1,3903117@有氧舞蹈@2@1,3904114@競技運動競賽實務@2@1,3904116@排球@2@1,3901101@運動心理學@1@1,3901110@體育行政@1@1,3902001@運動訓練法@1@1,3902003@專長術科（三）@1@1,3902005@運動場館實習（三）@1@1,3902009@運動英語聽講@1@1,3902101@應用教練心理學@1@1,3902103@運動生理學@1@1,3902107@運動場地規畫與管理@1@1,3902112@國術@1@1,3903103@運動選材學@1@1,3903106@運動按摩學@1@1,3903109@運動教練學@1@1,3903115@桌球@1@1,3903118@運動健康促進@1@1,3904008@運動資訊處理（二）@1@1,3904105@體育教材教法@1@1,3904109@肌力訓練@1@1,3904118@體育課程設計@1@1,3904121@安全教育與急救@1@1,3901103@體育學原理@2@1,3902002@運動傷害與急救@2@1,3902004@專長術科（四）@2@1,3902006@運動場館實習（四）@2@1,3902102@運動生物力學@2@1,3902106@運動管理學@2@1,3902108@運動賽會與管理@2@1,3902113@瑜珈@2@1,3903005@體育英文@2@1,3903007@運動資訊處理@2@1,3903104@運動營養學@2@1,3903105@運動行銷學@2@1,3904123@運動健康心理學@2@1,3901109@撞球@1@1,3902010@運動專業實習（一）@1@1,3903001@專長術科（五）@1@1,3904005@運動專業英語術語@1@1,3902011@運動專業實習（二）@2@1,3903016@專長術科（六）-田徑@2@1,3903017@專長術科（六）-游泳@2@1,3903018@專長術科（六）-網球@2@1,3903019@專長術科（六）-羽球@2@1,3903020@專長術科（六）-高爾夫@2@1,3903021@專長術科（六）-跆拳道@2@1,3903022@專長術科（六）-射箭@2@1,3903023@專長術科（六）-定向越野@2@1,3904020@專長術科（八）-羽球@2@1,3904117@羽球@2@1,3903105@運動行銷學@1@1,3903119@運動專業實習（三）@1@1,3904009@專長術科（七）-田徑@1@1,3904010@專長術科（七）-游泳@1@1,3904011@專長術科（七）-網球@1@1,3904012@專長術科（七）-羽球@1@1,3904014@專長術科（七）-跆拳道@1@1,3904015@專長術科（七）-射箭@1@1,3904016@專長術科（七）-定向越野@1@1,3904025@專長術科（七）-綜合@1@1,3904103@體育統計學@1@1,3902101@應用教練心理學@2@1,3904017@專長術科（八）-田徑@2@1,3904018@專長術科（八）-游泳@2@1,3904019@專長術科（八）-網球@2@1,3904022@專長術科（八）-跆拳道@2@1,3904023@專長術科（八）-射箭@2@1,3904024@專長術科（八）-定向越野@2@1,3904026@專長術科（八）-綜合@2@1,3904118@體育課程設計@2@1
402736001,75,88,90,90,76,88,NaN,85,NaN,85,72,NaN,80,90,88,95,NaN,88,NaN,NaN,NaN,77,-1,78,NaN,NaN,86,83,NaN,NaN,71,92,93,77,NaN,82,NaN,79,NaN,83,81,NaN,90,82,NaN,80,NaN,79,80,83,88,84,85,82,NaN,95,75,82,88,NaN,NaN,82,NaN,94,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402736002,65,88,86,90,NaN,NaN,NaN,84,90,84,87,NaN,80,90,83,93,NaN,87,65,86,NaN,79,82,80,86,-1,NaN,86,NaN,NaN,65,95,88,78,NaN,73,NaN,NaN,NaN,90,83,70,90,90,NaN,80,NaN,NaN,-1,87,92,78,86,NaN,NaN,92,75,89,86,NaN,NaN,NaN,NaN,91,87,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
402736003,65,88,82,80,76,NaN,NaN,84,80,83,73,NaN,76,86,81,85,75,80,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,83,NaN,NaN,NaN,65,85,88,85,NaN,NaN,83,NaN,NaN,91,72,NaN,75,81,NaN,NaN,NaN,44,-1,90,85,79,-1,NaN,NaN,NaN,70,79,78,65,-1,NaN,NaN,82,86,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,-1,85,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402736005,85,88,89,95,76,NaN,NaN,82,80,84,86,97,77,86,92,92,93,NaN,NaN,NaN,NaN,80,-1,81,83,NaN,90,NaN,NaN,95,64,95,87,75,NaN,79,NaN,NaN,NaN,94,90,NaN,92,87,NaN,NaN,NaN,83,NaN,90,90,93,84,88,NaN,NaN,84,87,NaN,74,NaN,NaN,NaN,89,90,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
402736006,85,87,82,80,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,86,70,70,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402736007,75,88,85,95,76,70,NaN,NaN,NaN,81,NaN,NaN,77,88,82,96,NaN,90,NaN,NaN,NaN,75,-1,NaN,78,90,NaN,NaN,NaN,NaN,66,83,92,82,NaN,72,NaN,66,NaN,93,85,66,90,83,NaN,NaN,NaN,77,-1,84,89,89,NaN,66,NaN,89,70,80,88,NaN,NaN,80,NaN,87,81,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402736009,63,80,84,80,76,85,NaN,86,NaN,80,76,NaN,73,84,82,80,90,NaN,NaN,NaN,NaN,NaN,87,85,86,70,84,84,NaN,NaN,66,82,80,70,NaN,NaN,NaN,NaN,NaN,88,NaN,39,85,NaN,75,25,82,NaN,62,70,82,66,NaN,NaN,NaN,NaN,50,79,70,NaN,NaN,72,NaN,82,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402736010,93,80,82,80,NaN,84,NaN,88,NaN,82,81,86,63,88,79,85,79,NaN,65,-1,NaN,NaN,83,NaN,NaN,NaN,NaN,88,75,NaN,79,83,80,75,NaN,90,NaN,76,NaN,89,45,88,94,83,NaN,NaN,NaN,83,46,82,83,77,82,71,NaN,96,74,79,58,NaN,NaN,76,NaN,80,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,98,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402736014,85,88,90,95,NaN,NaN,NaN,87,90,84,NaN,95,78,90,88,95,NaN,NaN,65,NaN,NaN,79,-1,82,86,NaN,NaN,88,NaN,NaN,73,93,92,79,NaN,82,NaN,83,86,94,88,NaN,93,91,NaN,NaN,NaN,82,NaN,92,92,93,NaN,NaN,NaN,92,88,92,NaN,NaN,NaN,NaN,NaN,90,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402736015,90,85,83,92,76,49,NaN,88,82,86,NaN,87,81,87,89,90,NaN,NaN,NaN,NaN,85,81,82,NaN,85,93,NaN,89,NaN,NaN,67,83,88,75,85,79,90,83,75,95,81,74,91,80,NaN,NaN,NaN,87,-1,88,84,89,85,75,NaN,95,76,92,92,NaN,-1,NaN,NaN,87,86,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1
