id,4105113@視訊處理@2@1,4105316@圖論演算法@2@1,4105446@網路程式設計@2@1,4105448@多媒體學習系統設計@2@1,4105506@進階資料庫系統@2@1,4105508@雲端計算@2@1,4105559@超大型積體電路系統設計概論@2@1,4105566@數位積體電路設計@2@1,4105700@計算機結構@2@1,4105797@嵌入式計算系統@2@1,4106002@計算機專題（二）@2@1,4105100@影像處理@1@1,4105105@圖形識別@1@1,4105107@生醫影像處理系統@1@1,4105109@電腦視覺@1@1,4105111@計算攝影學：應用圖學與影像技術@1@1,4105210@類神經網路@1@1,4105306@社會網路分析@1@1,4105310@計算方法@1@1,4105334@演化式計算@1@1,4105400@電腦網路@1@1,4105401@無線區域網路@1@1,4105402@網路安全攻防技術@1@1,4105417@行動通訊網路@1@1,4105444@多媒體內容分析@1@1,4105460@網際網路資訊檢索@1@1,4105467@多媒體網路系統與技術@1@1,4105468@軟體定義網路@1@1,4105509@雲端學習科技@1@1,4105513@適地性服務之實證方法@1@1,4105567@高等數位積體電路設計@1@1,4105571@低功耗應用處理器設計@1@1,4105598@車用電子系統應用專題@1@1,4105605@編譯器@1@1,4105631@R 程式設計@1@1,4105730@作業系統@1@1,4105752@即時作業系統理論與實務@1@1,4105803@嵌入式開發軟體工具組@1@1,4105812@軟體測試@1@1,4105915@計算生物學概論@1@1,4105929@賽局理論與機制設計@1@1,4106000@科技英文寫作與溝通技巧@1@1,4106001@計算機專題（一）@1@1,4105015@資料工程@2@1,4105205@模糊系統@2@1,4105314@超啟發式演算法@2@1,4105317@近似演算法@2@1,4105347@最佳化導論@2@1,4105397@創意物聯網應用設計@2@1,4105399@物聯網概論@2@1,4105408@無線感測網路@2@1,4105454@網路效能分析@2@1,4105477@WWW 技術與應用@2@1,4105558@異質系統架構程式設計與實作@2@1,4105597@醫療電子臨床導入@2@1,4105755@分散式系統@2@1,4105818@嵌入式作業系統設計與實作研討@2@1,4105931@機器學習@2@1,4106004@計算機專題（四）@2@1,4105106@遙測影像分析概論@1@1,4105345@最佳化問題算法設計@1@1,4105476@網際網路資料庫系統@1@1,4105594@可程式化硬體設計@1@1,4105791@即時嵌入式系統@1@1,4105813@軟體分析與最佳化@1@1,4105911@生物資訊演算法@1@1,4106003@計算機專題（三）@1@1,4105004@密碼學與安全協定@2@1,4105398@物聯網應用系統@2@1,4105599@晶片系統設計@2@1,4105926@高通量定序資料之生物資訊分析技術@2@1
604410044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,86,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,-1,NaN,NaN,NaN,NaN,93,NaN,NaN,99,NaN,NaN,NaN,NaN
604410050,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,94,92,91,84,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN
604410060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,89,NaN,NaN,91,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604410063,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,71,NaN,78,88,NaN,NaN,NaN,80,NaN,NaN,88,NaN,77,82,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604410066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,74,93,90,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
604410069,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,74,80,91,78,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN
604410079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,88,NaN,95,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604410082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,74,77,76,NaN,94,NaN,NaN,NaN,81,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,78,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
604410084,NaN,NaN,NaN,NaN,NaN,NaN,87,91,81,NaN,70,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,84,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604410096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,86,91,92,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
604410098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,83,NaN,NaN,95,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604410101,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,78,NaN,82,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,-1,NaN,NaN,NaN,NaN,95,NaN,NaN,94,NaN,NaN,NaN,NaN
604410120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,78,72,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,86,NaN,68,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,-1,NaN,NaN,NaN,NaN,88,NaN,NaN,78,NaN,NaN,NaN,NaN
604410124,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,95,97,NaN,NaN,NaN,NaN,NaN,93,NaN,100,NaN,94,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN
604410125,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,85,NaN,82,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN
604410131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,74,79,NaN,NaN,NaN,79,NaN,NaN,80,NaN,NaN,78,NaN,NaN,75,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604410138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,82,86,80,NaN,95,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604410139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,74,76,NaN,82,NaN,NaN,NaN,NaN,81,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,89,-1,82,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
604410140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,78,78,NaN,77,NaN,NaN,NaN,NaN,76,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,79,-1,84,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604410142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,74,74,95,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN
604410152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,70,72,NaN,74,NaN,NaN,NaN,NaN,75,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,70,-1,70,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604410153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,74,56,NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,80,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN
604410159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,70,78,NaN,76,NaN,NaN,NaN,NaN,82,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,88,-1,71,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN
604410165,77,NaN,NaN,NaN,NaN,76,NaN,NaN,78,NaN,74,80,84,72,NaN,NaN,NaN,NaN,75,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN
604410166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,90,74,72,78,72,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN
604410055,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,70,NaN,78,NaN,NaN,NaN,NaN,72,75,NaN,80,73,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,80,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604410052,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,93,NaN,99,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN
604410092,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,95,NaN,97,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,92,NaN,99,NaN,NaN,NaN,NaN
604410093,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,88,NaN,93,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,97,NaN,94,NaN,NaN,NaN,NaN
604410119,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,75,NaN,82,NaN,NaN,NaN,NaN,NaN,90,NaN,81,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,82,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN
604410102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,79,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,84,NaN,91,93,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604410116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,70,86,NaN,NaN,NaN,NaN,NaN,82,85,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN
604410128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,70,95,NaN,NaN,NaN,NaN,NaN,87,87,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN
