id,3455026@刑事訴訟法專題研究@2@1,3455070@矯正社會工作專題研究@2@1,3456009@當代社會心理學與犯罪專題研究@2@1,3456029@洗錢刑法專題研究@2@1,3455001@行為科學研究法@1@1,3455002@犯罪學專題研究（一）@1@1,3455011@刑事法學專題研究@1@1,3455051@家庭暴力與性侵害專題研究@1@1,3455056@質的研究法@1@1,3455080@批判的犯罪學@1@1,3455084@性罪犯與婚姻暴力加害人處遇專題研究@1@1,3455090@白領犯罪與經濟犯罪專題研究@1@1,3456006@生涯發展與犯罪專題研究@1@1,3456044@暴力行為的神經機制專題研究@1@1,3455003@犯罪學專題研究（二）@2@1,3455022@少年犯罪專題研究@2@1,3456032@犯罪控制與監獄學專題研究@2@1,3456036@公務員倫理與刑事立法@2@1,3456037@多元文化與華人諮商專題研究@2@1,3456039@犯罪與電生理學專題研究@2@1,3456040@犯罪地理學專題研究@2@1,3456047@兒時性創傷@2@1,3456013@犯罪研究統計（一）@1@1,3456020@犯罪社會學理論專題研究@1@1,3456030@犯罪生物學專題研究@1@1,3456031@少年事件處理法與保安處分執行法專題研究@1@1,3456041@心理創傷與處遇@1@1,3456045@刑事制裁專題研究@1@1,3457027@刑事程序法專題研究@1@1,3457028@犯罪學經典著作研析@1@1,3455037@矯正諮商專題研究@2@1,3456017@犯罪研究統計（二）@2@1,3456027@獨立研究：研究計畫與報告撰寫@2@1,3456028@獨立研究：刑事法學實證研究@2@1,3456043@創傷訪談研究@2@1,3456049@親密暴力諮商專題研究@2@1,3456051@藥物濫用與防治專題研究@2@1,3456052@性別與刑事司法@2@1,3456053@獨立研究：性別暴力防治@2@1,3456055@犯罪與認知神經科學專題研究@2@1,3457011@刑事訴訟法專題研究@2@1,3455022@少年犯罪專題研究@1@1,3455081@警察組織與管理@1@1,3456036@公務員倫理與刑事立法@1@1,3456056@社區矯正專題研究@1@1,3455091@犯罪社會學理論專題研究@2@1,3456058@獨立研究:犯罪問題研討@2@1
602725003,92,NaN,90,92,88,87,88,NaN,91,NaN,NaN,NaN,NaN,NaN,87,NaN,91,89,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725005,92,89,89,NaN,89,89,89,NaN,91,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,91,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725001,NaN,89,NaN,NaN,89,89,88,NaN,95,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,90,NaN,NaN,NaN
602725002,90,88,NaN,NaN,90,90,88,90,93,NaN,90,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,90,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725004,NaN,NaN,91,NaN,88,88,90,NaN,NaN,91,90,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,94,NaN,NaN,94,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725006,NaN,88,86,NaN,90,89,88,NaN,NaN,NaN,NaN,NaN,84,NaN,86,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725009,90,NaN,NaN,NaN,88,89,88,NaN,NaN,NaN,NaN,NaN,NaN,95,87,NaN,NaN,NaN,NaN,95,NaN,NaN,91,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725010,NaN,NaN,89,NaN,88,89,89,NaN,NaN,NaN,NaN,93,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,92,NaN,93,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725011,NaN,NaN,NaN,96,87,89,88,NaN,NaN,NaN,NaN,94,NaN,NaN,87,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602725012,90,NaN,NaN,NaN,89,87,88,NaN,91,NaN,90,NaN,89,NaN,87,90,NaN,NaN,NaN,NaN,NaN,NaN,90,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
