id,3455056@質的研究法@2@1,3455090@白領犯罪與經濟犯罪專題研究@2@1,3456009@當代社會心理學與犯罪專題研究@2@1,3456054@矯正及司法社會工作專題研究@2@1,3457011@刑事訴訟法專題研究@2@1,3455001@行為科學研究法@1@1,3455002@犯罪學專題研究（一）@1@1,3455011@刑事法學專題研究@1@1,3456006@生涯發展與犯罪專題研究@1@1,3456013@犯罪研究統計（一）@1@1,3456045@刑事制裁專題研究@1@1,3456046@諮商技術專題研究@1@1,3456056@社區矯正專題研究@1@1,3456061@性侵者與親密暴力者處遇專題研究@1@1,3455003@犯罪學專題研究（二）@2@1,3455081@警察組織與管理@2@1,3456017@犯罪研究統計（二）@2@1,3456029@洗錢刑法專題研究@2@1,3456032@犯罪控制與監獄學專題研究@2@1,3456049@親密暴力諮商專題研究@2@1,3456055@犯罪與認知神經科學專題研究@2@1
605725002,93,NaN,NaN,88,NaN,NaN,89,92,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
605725008,NaN,91,90,NaN,91,NaN,90,95,NaN,NaN,NaN,NaN,NaN,90,-1,-1,NaN,NaN,-1,NaN,NaN
605725003,NaN,NaN,NaN,NaN,NaN,89,90,92,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1
605725004,NaN,NaN,NaN,NaN,NaN,90,90,92,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1
605725005,NaN,NaN,NaN,NaN,NaN,88,88,92,88,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605725006,NaN,NaN,NaN,NaN,-1,90,91,95,NaN,NaN,NaN,NaN,91,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
605725009,NaN,NaN,NaN,NaN,NaN,88,89,92,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
605725010,NaN,NaN,NaN,NaN,NaN,89,89,92,NaN,81,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
605725013,NaN,NaN,NaN,NaN,NaN,90,89,93,NaN,NaN,90,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1
605725014,NaN,NaN,NaN,NaN,NaN,89,90,92,NaN,NaN,NaN,93,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
605725015,NaN,NaN,NaN,NaN,-1,88,90,92,NaN,88,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
605725016,NaN,NaN,NaN,NaN,NaN,90,90,92,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605725017,NaN,NaN,NaN,NaN,-1,89,88,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605725019,NaN,NaN,NaN,NaN,NaN,89,88,92,NaN,80,92,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN
605725020,NaN,NaN,NaN,NaN,-1,89,89,93,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1
605725021,NaN,NaN,NaN,NaN,-1,90,89,93,NaN,NaN,91,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
605725007,NaN,NaN,NaN,NaN,NaN,NaN,90,94,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN
605725011,NaN,NaN,NaN,NaN,-1,NaN,83,92,NaN,80,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
