id,5205015@策略管理@2@1,5205058@投資分析@2@1,5205199@人力資源發展@2@1,5205210@管理專案實習（一）@2@1,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205005@管理資訊系統@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205056@系統模擬@1@1,5205057@廣告管理@1@1,5205061@專案管理@1@1,5205067@國際企業@1@1,5205069@消費者行為@1@1,5205159@人文領導與企業倫理@1@1,5205164@品牌管理@1@1,5205205@管理專題講座@1@1,5205211@影像．故事．行銷創意@1@1,5205212@管理專案實習（二）@1@1,5205217@國際經營個案@1@1,5205002@研究方法@2@1,5205054@管理科學@2@1,5205122@網路行銷@2@1,5205158@金融市場與機構@2@1,5205203@國際人力資源管理@2@1,5205216@企業實習@2@1,5205218@零售管理@2@1,5206142@電腦套裝軟體應用@2@1,5206200@財務與投資專題研討@2@1,5205040@多變量分析@1@1,5205097@服務業行銷管理@1@1,5205109@管理時事英文選讀@1@1,5205209@企業形象與招募專題@1@1,5205219@高階財務管理@1@1,5205107@國際財務管理@2@1,5205200@人力招募與甄選@2@1,5205204@通路管理@2@1,5205215@行銷文案寫作與溝通@2@1,5206213@大數據分析與管理專題研討@2@1
604520014,95,87,96,84,NaN,NaN,77,92,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,84,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520001,86,NaN,NaN,87,83,86,79,91,85,92,NaN,NaN,NaN,NaN,84,85,91,86,NaN,92,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520002,97,NaN,NaN,87,83,86,78,91,83,92,NaN,NaN,NaN,NaN,NaN,85,92,85,NaN,90,NaN,84,NaN,87,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520003,74,NaN,NaN,88,79,88,75,91,88,84,84,NaN,93,83,NaN,NaN,NaN,90,NaN,94,NaN,72,73,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,73,NaN,70,NaN,NaN,NaN,NaN,-1
604520006,81,NaN,NaN,83,83,NaN,81,NaN,85,84,NaN,91,NaN,NaN,83,87,NaN,89,88,88,NaN,89,89,NaN,NaN,NaN,NaN,NaN,95,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520008,-1,NaN,NaN,87,84,NaN,NaN,NaN,96,94,90,NaN,NaN,90,NaN,90,NaN,87,NaN,90,87,80,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
604520009,95,NaN,NaN,87,84,92,79,93,93,90,NaN,NaN,NaN,NaN,88,NaN,NaN,85,NaN,92,NaN,93,NaN,NaN,NaN,91,NaN,NaN,86,NaN,NaN,NaN,NaN,88,NaN,NaN,-1,NaN,-1,NaN
604520017,85,NaN,-1,90,83,NaN,72,94,90,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,88,92,88,NaN,93,NaN,NaN,NaN,91,NaN,NaN,90,NaN,NaN,NaN,91,86,NaN,NaN,-1,NaN,-1,NaN
604520018,77,97,NaN,87,80,88,73,90,93,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,80,70,81,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,75,NaN,87,NaN,NaN,NaN,NaN,NaN
604520019,81,NaN,NaN,86,78,89,77,88,81,88,NaN,NaN,NaN,82,84,NaN,86,86,NaN,82,NaN,71,NaN,87,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520020,96,NaN,NaN,86,83,89,71,94,83,86,NaN,NaN,91,NaN,NaN,NaN,NaN,82,NaN,86,NaN,77,NaN,85,NaN,NaN,NaN,NaN,86,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520022,90,91,NaN,83,84,91,72,NaN,93,NaN,NaN,NaN,93,NaN,NaN,NaN,96,86,NaN,88,81,91,NaN,NaN,89,NaN,NaN,NaN,92,NaN,NaN,NaN,86,NaN,88,NaN,NaN,NaN,NaN,NaN
604520023,88,NaN,NaN,87,83,90,77,90,87,86,NaN,NaN,NaN,85,NaN,NaN,NaN,86,NaN,88,NaN,85,NaN,87,NaN,NaN,NaN,NaN,84,NaN,NaN,90,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520024,73,NaN,NaN,90,84,NaN,NaN,NaN,90,88,NaN,92,NaN,92,NaN,87,NaN,83,NaN,84,NaN,88,NaN,NaN,89,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
604520025,82,NaN,NaN,88,81,89,75,NaN,92,86,NaN,90,NaN,85,NaN,NaN,86,85,NaN,84,NaN,88,NaN,87,NaN,NaN,NaN,NaN,84,NaN,NaN,90,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520026,86,NaN,NaN,87,80,93,71,91,82,86,NaN,NaN,91,NaN,87,NaN,NaN,85,NaN,86,NaN,88,73,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
604520028,77,NaN,NaN,87,84,86,74,91,82,92,82,NaN,NaN,NaN,NaN,84,90,84,NaN,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520029,91,NaN,NaN,89,87,90,74,90,89,90,NaN,NaN,NaN,87,NaN,NaN,NaN,84,NaN,90,90,83,79,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,92,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520030,80,NaN,NaN,87,78,92,70,90,83,90,NaN,NaN,90,NaN,86,NaN,NaN,83,NaN,86,NaN,79,70,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
604520032,100,NaN,NaN,88,85,90,80,95,93,90,NaN,NaN,93,NaN,NaN,NaN,NaN,90,NaN,92,NaN,84,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN,NaN,-1
604520034,90,NaN,NaN,91,85,92,76,90,85,92,NaN,NaN,NaN,NaN,NaN,87,NaN,87,NaN,92,NaN,93,85,NaN,NaN,90,NaN,NaN,87,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
604520036,89,NaN,NaN,86,80,91,71,93,86,90,NaN,NaN,92,NaN,NaN,NaN,NaN,87,88,92,NaN,81,80,NaN,NaN,NaN,NaN,80,85,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520037,89,NaN,NaN,87,84,91,70,NaN,88,94,NaN,93,NaN,88,NaN,NaN,NaN,84,NaN,90,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520043,91,NaN,NaN,83,84,NaN,75,88,86,94,NaN,NaN,NaN,NaN,89,88,87,86,88,90,NaN,85,82,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520044,89,NaN,NaN,83,86,NaN,79,88,89,92,84,NaN,NaN,NaN,NaN,86,NaN,86,88,82,NaN,92,NaN,87,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520046,77,NaN,NaN,88,81,89,71,90,84,86,NaN,NaN,NaN,84,NaN,NaN,NaN,87,NaN,92,NaN,80,NaN,85,NaN,NaN,NaN,NaN,86,NaN,NaN,90,78,NaN,NaN,NaN,NaN,-1,NaN,NaN
604520047,95,NaN,NaN,87,85,NaN,77,NaN,86,84,NaN,92,92,NaN,89,86,NaN,87,NaN,88,NaN,83,NaN,87,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520049,99,91,NaN,87,86,90,79,NaN,NaN,NaN,NaN,90,NaN,92,90,86,NaN,88,NaN,90,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520051,88,NaN,NaN,84,79,87,73,91,81,84,80,NaN,NaN,NaN,83,NaN,NaN,84,NaN,90,NaN,79,NaN,87,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
604520052,85,NaN,-1,88,81,91,77,94,81,94,88,NaN,NaN,NaN,86,NaN,NaN,84,NaN,90,NaN,86,NaN,90,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
604520053,91,NaN,NaN,85,85,91,71,91,85,88,NaN,NaN,93,NaN,NaN,NaN,NaN,87,NaN,80,NaN,85,NaN,87,NaN,NaN,NaN,NaN,86,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604520054,90,NaN,NaN,87,86,86,73,90,90,92,86,NaN,NaN,97,NaN,NaN,NaN,88,NaN,90,NaN,79,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
